label_0,label_1,period_label,period,value
Вологодская область,рубль,,1999,1396.2
Вологодская область,рубль,,2000,2022.8
Вологодская область,рубль,,2001,2719.0
Вологодская область,рубль,,2002,3481.3
Вологодская область,рубль,,2003,4411.8
Вологодская область,рубль,,2004,5246.4
Вологодская область,рубль,,2005,6344.9
Вологодская область,рубль,,2006,8681.9
Вологодская область,рубль,,2007,10521.0
Калининградская область,рубль,,1995,375.7
Калининградская область,рубль,,1996,507.2
Калининградская область,рубль,,1997,589.0
Калининградская область,рубль,,1998,756.6
Калининградская область,рубль,,1999,1279.3
Калининградская область,рубль,,2000,1843.3
Калининградская область,рубль,,2001,2339.6
Калининградская область,рубль,,2002,2716.1
Калининградская область,рубль,,2003,3807.1
Калининградская область,рубль,,2004,4692.5
Калининградская область,рубль,,2005,6481.1
Калининградская область,рубль,,2006,8917.5
Калининградская область,рубль,,2007,11430.7
Ленинградская область,рубль,,1995,369.2
Ленинградская область,рубль,,1996,540.8
Ленинградская область,рубль,,1997,597.5
Ленинградская область,рубль,,1998,648.7
Ленинградская область,рубль,,1999,1007.6
Ленинградская область,рубль,,2000,1354.9
Ленинградская область,рубль,,2001,1868.7
Ленинградская область,рубль,,2002,2417.5
Ленинградская область,рубль,,2003,3052.3
Ленинградская область,рубль,,2004,4455.1
Ленинградская область,рубль,,2005,5686.5
Ленинградская область,рубль,,2006,8055.4
Ленинградская область,рубль,,2007,10201.2
Мурманская область,рубль,,1995,743.7
Мурманская область,рубль,,1996,1078.5
Мурманская область,рубль,,1997,1332.3
Мурманская область,рубль,,1998,1558.9
Мурманская область,рубль,,1999,2464.7
Мурманская область,рубль,,2000,3550.1
Мурманская область,рубль,,2001,4620.2
Мурманская область,рубль,,2002,5892.5
Мурманская область,рубль,,2003,7134.7
Мурманская область,рубль,,2004,8366.5
Мурманская область,рубль,,2005,10624.1
Мурманская область,рубль,,2006,13020.1
Мурманская область,рубль,,2007,15859.1
Новгородская область,рубль,,1995,437.8
Новгородская область,рубль,,1996,709.2
Новгородская область,рубль,,1997,765.2
Новгородская область,рубль,,1998,951.0
Новгородская область,рубль,,1999,1375.9
Новгородская область,рубль,,2000,1807.5
Новгородская область,рубль,,2001,2407.7
Новгородская область,рубль,,2002,3008.5
Новгородская область,рубль,,2003,3715.4
Новгородская область,рубль,,2004,4363.3
Новгородская область,рубль,,2005,5475.6
Новгородская область,рубль,,2006,7205.9
Новгородская область,рубль,,2007,8614.1
Псковская область,рубль,,1995,342.5
Псковская область,рубль,,1996,479.9
