label_0,label_1,label_2,period_label,period,value
Республика Северная Осетия-Алания,процент,значение показателя за год,,2016,9.9
Республика Северная Осетия-Алания,процент,значение показателя за год,,2017,11.8
Республика Северная Осетия-Алания,процент,значение показателя за год,,2018,10.5
Чеченская Республика,процент,значение показателя за год,,2010,43.3
Чеченская Республика,процент,значение показателя за год,,2011,37.3
Чеченская Республика,процент,значение показателя за год,,2012,29.8
Чеченская Республика,процент,значение показателя за год,,2013,26.9
Чеченская Республика,процент,значение показателя за год,,2014,21.5
Чеченская Республика,процент,значение показателя за год,,2015,17.1
Чеченская Республика,процент,значение показателя за год,,2016,15.8
Чеченская Республика,процент,значение показателя за год,,2017,14.0
Чеченская Республика,процент,значение показателя за год,,2018,13.7
Ставропольский край,процент,значение показателя за год,,2010,6.9
Ставропольский край,процент,значение показателя за год,,2011,6.0
Ставропольский край,процент,значение показателя за год,,2012,5.4
Ставропольский край,процент,значение показателя за год,,2013,5.6
Ставропольский край,процент,значение показателя за год,,2014,5.3
Ставропольский край,процент,значение показателя за год,,2015,5.6
Ставропольский край,процент,значение показателя за год,,2016,5.7
Ставропольский край,процент,значение показателя за год,,2017,5.2
Ставропольский край,процент,значение показателя за год,,2018,5.0
Приволжский федеральный округ,процент,значение показателя за год,,2010,7.6
Приволжский федеральный округ,процент,значение показателя за год,,2011,6.5
Приволжский федеральный округ,процент,значение показателя за год,,2012,5.3
Приволжский федеральный округ,процент,значение показателя за год,,2013,4.9
Приволжский федеральный округ,процент,значение показателя за год,,2014,4.5
Приволжский федеральный округ,процент,значение показателя за год,,2015,4.8
Приволжский федеральный округ,процент,значение показателя за год,,2016,4.8
Приволжский федеральный округ,процент,значение показателя за год,,2017,4.7
Приволжский федеральный округ,процент,значение показателя за год,,2018,4.4
Республика Башкортостан,процент,значение показателя за год,,2010,8.9
Республика Башкортостан,процент,значение показателя за год,,2011,7.6
Республика Башкортостан,процент,значение показателя за год,,2012,6.1
